Activity database,Activity code,Activity name,Activity unit,Activity type,Exchange database,Exchange input,Exchange amount,Exchange unit,Exchange type,Exchange uncertainty type,Exchange loc,Exchange scale,Exchange negative,Notes
efficiency,Bitcoin Network,Bitcoin Network,Tera Hashes,process,efficiency,Bitcoin Network,1.000,Tera Hashes,production,,,,,
efficiency,Bitcoin Network,Bitcoin Network,Tera Hashes,process,efficiency,Miners_CN_SC,0.264,Tera Hashes,technosphere,,,,,
efficiency,Bitcoin Network,Bitcoin Network,Tera Hashes,process,efficiency,Miners_CN_XJ,0.311,Tera Hashes,technosphere,,,,,
efficiency,Bitcoin Network,Bitcoin Network,Tera Hashes,process,efficiency,Miners_CN_NM,0.087,Tera Hashes,technosphere,,,,,
efficiency,Bitcoin Network,Bitcoin Network,Tera Hashes,process,efficiency,Miners_US,0.062,Tera Hashes,technosphere,,,,,
efficiency,Bitcoin Network,Bitcoin Network,Tera Hashes,process,efficiency,Miners_RU,0.071,Tera Hashes,technosphere,,,,,
efficiency,Bitcoin Network,Bitcoin Network,Tera Hashes,process,efficiency,Miners_MY,0.042,Tera Hashes,technosphere,,,,,
efficiency,Bitcoin Network,Bitcoin Network,Tera Hashes,process,efficiency,Miners_CN_YN,0.089,Tera Hashes,technosphere,,,,,
efficiency,Bitcoin Network,Bitcoin Network,Tera Hashes,process,efficiency,Miners_CN_GS,0.031,Tera Hashes,technosphere,,,,,
efficiency,Bitcoin Network,Bitcoin Network,Tera Hashes,process,efficiency,Miners_IR,0.023,Tera Hashes,technosphere,,,,,
efficiency,Bitcoin Network,Bitcoin Network,Tera Hashes,process,efficiency,Miners_KZ,0.020,Tera Hashes,technosphere,,,,,
efficiency,Miners_CN_SC,Miners_CN_SC,Tera Hashes,process,efficiency,Miners_CN_SC,0.264,Tera Hashes,production,,,,,
efficiency,Miners_CN_SC,Miners_CN_SC,Tera Hashes,process,efficiency,Equipment_CN_SC,0.264,Tera Hashes,technosphere,,,,,
efficiency,Miners_CN_XJ,Miners_CN_XJ,Tera Hashes,process,efficiency,Miners_CN_XJ,0.311,Tera Hashes,production,,,,,
efficiency,Miners_CN_XJ,Miners_CN_XJ,Tera Hashes,process,efficiency,Equipment_CN_XJ,0.311,Tera Hashes,technosphere,,,,,
efficiency,Miners_CN_NM,Miners_CN_NM,Tera Hashes,process,efficiency,Miners_CN_NM,0.087,Tera Hashes,production,,,,,
efficiency,Miners_CN_NM,Miners_CN_NM,Tera Hashes,process,efficiency,Equipment_CN_NM,0.087,Tera Hashes,technosphere,,,,,
efficiency,Miners_US,Miners_US,Tera Hashes,process,efficiency,Miners_US,0.062,Tera Hashes,production,,,,,
efficiency,Miners_US,Miners_US,Tera Hashes,process,efficiency,Equipment_US,0.062,Tera Hashes,technosphere,,,,,
efficiency,Miners_CN_YN,Miners_CN_YN,Tera Hashes,process,efficiency,Miners_CN_YN,0.089,Tera Hashes,production,,,,,
efficiency,Miners_CN_YN,Miners_CN_YN,Tera Hashes,process,efficiency,Equipment_CN_YN,0.089,Tera Hashes,technosphere,,,,,
efficiency,Miners_CN_GS,Miners_CN_GS,Tera Hashes,process,efficiency,Miners_CN_GS,0.031,Tera Hashes,production,,,,,
efficiency,Miners_CN_GS,Miners_CN_GS,Tera Hashes,process,efficiency,Equipment_CN_GS,0.031,Tera Hashes,technosphere,,,,,
efficiency,Miners_MY,Miners_MY,Tera Hashes,process,efficiency,Miners_MY,0.042,Tera Hashes,production,,,,,
efficiency,Miners_MY,Miners_MY,Tera Hashes,process,efficiency,Equipment_MY,0.042,Tera Hashes,technosphere,,,,,
efficiency,Miners_IR,Miners_IR,Tera Hashes,process,efficiency,Miners_IR,0.023,Tera Hashes,production,,,,,
efficiency,Miners_IR,Miners_IR,Tera Hashes,process,efficiency,Equipment_IR,0.023,Tera Hashes,technosphere,,,,,
efficiency,Miners_KZ,Miners_KZ,Tera Hashes,process,efficiency,Miners_KZ,0.020,Tera Hashes,production,,,,,
efficiency,Miners_KZ,Miners_KZ,Tera Hashes,process,efficiency,Equipment_KZ,0.020,Tera Hashes,technosphere,,,,,
efficiency,Miners_RU,Miners_RU,Tera Hashes,process,efficiency,Miners_RU,0.071,Tera Hashes,production,,,,,
efficiency,Miners_RU,Miners_RU,Tera Hashes,process,efficiency,Equipment_RU,0.071,Tera Hashes,technosphere,,,,,
efficiency,Equipment_CN_SC,Equipment_CN_SC,Tera Hashes,process,efficiency,Equipment_CN_SC,229320,Tera Hashes,production,,,,,
efficiency,Equipment_CN_SC,Equipment_CN_SC,Tera Hashes,process,efficiency,El_production_CN_SC [Electricity],2.667,kilowatt hour,technosphere,,,,,
efficiency,Equipment_CN_SC,Equipment_CN_SC,Tera Hashes,process,efficiency,Equipment production,7.61E-05,unit,technosphere,,,,,
efficiency,Equipment_CN_SC,Equipment_CN_SC,Tera Hashes,process,efficiency,EoL [treatment of Equipment],-7.61E-05,unit,technosphere,,,,,
efficiency,Equipment_CN_XJ,Equipment_CN_XJ,Tera Hashes,process,efficiency,Equipment_CN_XJ,229320,Tera Hashes,production,,,,,
efficiency,Equipment_CN_XJ,Equipment_CN_XJ,Tera Hashes,process,efficiency,El_production_CN_XJ [Electricity],2.667,kilowatt hour,technosphere,,,,,
efficiency,Equipment_CN_XJ,Equipment_CN_XJ,Tera Hashes,process,efficiency,Equipment production,7.61E-05,unit,technosphere,,,,,
efficiency,Equipment_CN_XJ,Equipment_CN_XJ,Tera Hashes,process,efficiency,EoL [treatment of Equipment],-7.61E-05,unit,technosphere,,,,,
efficiency,Equipment_CN_NM,Equipment_CN_NM,Tera Hashes,process,efficiency,Equipment_CN_NM,229320,Tera Hashes,production,,,,,
efficiency,Equipment_CN_NM,Equipment_CN_NM,Tera Hashes,process,efficiency,El_production_CN_NM [Electricity],2.667,kilowatt hour,technosphere,,,,,
efficiency,Equipment_CN_NM,Equipment_CN_NM,Tera Hashes,process,efficiency,Equipment production,7.61E-05,unit,technosphere,,,,,
efficiency,Equipment_CN_NM,Equipment_CN_NM,Tera Hashes,process,efficiency,EoL [treatment of Equipment],-7.61E-05,unit,technosphere,,,,,
efficiency,Equipment_US,Equipment_US,Tera Hashes,process,efficiency,Equipment_US,229320,Tera Hashes,production,,,,,
efficiency,Equipment_US,Equipment_US,Tera Hashes,process,efficiency,El_production_US [Electricity],2.667,kilowatt hour,technosphere,,,,,
efficiency,Equipment_US,Equipment_US,Tera Hashes,process,efficiency,Equipment production,7.61E-05,unit,technosphere,,,,,
efficiency,Equipment_US,Equipment_US,Tera Hashes,process,efficiency,EoL [treatment of Equipment],-7.61E-05,unit,technosphere,,,,,
efficiency,Equipment_CN_YN,Equipment_CN_YN,Tera Hashes,process,efficiency,Equipment_CN_YN,229320,Tera Hashes,production,,,,,
efficiency,Equipment_CN_YN,Equipment_CN_YN,Tera Hashes,process,efficiency,El_production_CN_YN [Electricity],2.667,kilowatt hour,technosphere,,,,,
efficiency,Equipment_CN_YN,Equipment_CN_YN,Tera Hashes,process,efficiency,Equipment production,7.61E-05,unit,technosphere,,,,,
efficiency,Equipment_CN_YN,Equipment_CN_YN,Tera Hashes,process,efficiency,EoL [treatment of Equipment],-7.61E-05,unit,technosphere,,,,,
efficiency,Equipment_CN_GS,Equipment_CN_GS,Tera Hashes,process,efficiency,Equipment_CN_GS,229320,Tera Hashes,production,,,,,
efficiency,Equipment_CN_GS,Equipment_CN_GS,Tera Hashes,process,efficiency,El_production_CN_GS [Electricity],2.667,kilowatt hour,technosphere,,,,,
efficiency,Equipment_CN_GS,Equipment_CN_GS,Tera Hashes,process,efficiency,Equipment production,7.61E-05,unit,technosphere,,,,,
efficiency,Equipment_CN_GS,Equipment_CN_GS,Tera Hashes,process,efficiency,EoL [treatment of Equipment],-7.61E-05,unit,technosphere,,,,,
efficiency,Equipment_MY,Equipment_MY,Tera Hashes,process,efficiency,Equipment_MY,229320,Tera Hashes,production,,,,,
efficiency,Equipment_MY,Equipment_MY,Tera Hashes,process,efficiency,El_production_MY [Electricity],2.667,kilowatt hour,technosphere,,,,,
efficiency,Equipment_MY,Equipment_MY,Tera Hashes,process,efficiency,Equipment production,7.61E-05,unit,technosphere,,,,,
